FIPS,Chlamydia Rate per 100000
45001,569.4
22001,530.4
51001,733.6
16001,451.6
19001,268.6
21001,276.1
29001,337.6
40001,522
08001,571.6
19003,192.1
16003,188.9
17001,364.2
18001,219.1
28001,811.8
38001,43.9
31001,269.7
39001,202.2
42001,203.8
53001,461.1
55001,240.9
50001,198
72001,92.5
72003,136.5
72005,132.5
72007,209.7
72009,167.2
45003,620.8
27001,157.4
12001,916.5
37001,560.9
06001,582
08003,584.7
36001,630.2
56001,488
51003,338.6
26001,144.8
28003,391.2
02013,235.6
02016,159.6
17003,496.6
37003,200.9
51510,460.2
40003,121.4
26003,76.8
19005,166
26005,326
24001,341.1
36003,341
37005,323.2
51005,220.2
42003,465
18003,680.1
20001,256
21003,279.3
39003,600.6
22003,309
45005,1434.3
26007,207.9
06003,1101.9
06005,159.9
51007,421.2
51009,309.3
28005,283.9
02020,917.7
20003,165.6
21005,287.1
45007,609.1
47001,351.3
48001,426.1
29003,260.4
48003,410.9
23001,527.3
48005,489.6
24003,402.4
27003,365
37007,735.6
31003,95.1
26009,201.5
04001,903.4
19007,290.3
13001,431.8
51011,327.4
48007,443.6
08005,640.4
48009,149.4
08007,160.2
72013,154.7
26011,266.5
05001,654.4
51013,448.7
42005,169.8
48011,5215.5
23003,254
72015,192.1
31005,0
22005,499.8
37009,147.6
39005,229
55003,250.2
05003,609.6
39007,325.9
53003,252
22007,776.5
48013,846.5
20005,284.4
29005,96.5
39009,685.3
13003,605.2
34001,499.3
40005,674.2
28007,796.6
29007,700.2
19009,127.9
39011,253.6
51015,268.7
46003,430.9
48015,260.3
01001,504.2
37011,165.4
22009,940.5
72011,99.9
08009,251.1
13005,485.1
48017,456.2
12003,500.8
13007,518.5
41001,205.8
01003,290.1
13009,844.2
21007,337.8
24510,1330.1
24005,539.1
45009,1009
48019,153.6
13011,163.4
31007,275.9
16005,349.6
26013,168.2
20007,425.5
01005,767.9
54001,194.1
72017,162
38003,199.5
25001,255.8
45011,743.3
72019,210.9
21009,426.2
55005,279.1
13013,367.4
26015,261.3
29009,212.8
18005,339.7
20009,341.6
29011,381.7
13015,426.8
48021,952.7
29013,184
21011,257.2
51017,258.6
05005,230.6
12005,388.7
26017,397.3
72021,199.6
55007,193
48023,112
46005,255.1
16007,82.7
37013,616.3
45013,462.7
22011,369.3
40007,357.3
42007,355.4
49001,135.8
30001,488.7
27005,317
40009,501.8
42009,131
47003,356.1
51019,201.6
48025,671.5
33001,222.4
21013,230.3
48027,942.6
39013,266.5
27007,468.6
13017,707.4
16009,455.6
46007,1238.1
50003,230.9
38005,1422.8
08011,206.6
05007,307.4
19011,249.8
18007,208
27009,350.5
29015,191.7
28009,461
41003,499.8
47005,301.6
53005,442.2
26019,230.8
34003,250.5
45015,491.9
54003,331.8
42011,472
25003,201
35001,744.8
13019,498.3
26021,624.2
37015,863.6
02050,3238.4
48029,532.2
01007,621.5
13021,1108.5
22013,1011.8
30003,1257
56003,84.2
27011,100.2
38007,217.9
16011,258
19013,762.2
18009,352.2
37017,431.4
16013,294.2
30005,915.3
31009,0
40011,327.9
42013,314.3
48031,901.4
51021,111.1
13023,748.8
47007,981
01009,304.7
47009,443.2
27013,675.3
16015,156.8
28011,874.2
29017,246.1
46009,159.2
17005,282.5
16017,248.3
16019,270.5
05009,334.4
19015,323
17007,383.3
18011,219.6
21015,265.4
29019,854.5
31011,76.3
54005,91.1
48033,463.7
48035,279.1
22015,689.6
51023,149.9
38009,203.2
08013,434.9
16021,133.2
20011,288.8
21017,382.8
48037,612.7
38011,163
31013,223.6
49003,205.8
21019,190.3
31015,51.3
21021,309.2
21023,181.2
12007,374.7
42015,223.7
05011,590.5
47011,413.8
26023,298.4
13025,284.4
54007,85.3
48039,388.7
48041,647.5
21025,156.4
21027,221.6
19017,296.7
12009,344.9
48043,302
48045,727.5
02060,113.6
51520,341.6
25005,368.4
44001,238.5
30007,263.5
36005,1235.2
54009,126.5
46011,382
13027,445.8
48047,718.4
36007,324.6
08014,370.7
12011,581.8
17009,106.7
18013,105.1
20013,249.7
27015,234.8
31017,101.1
39015,319
46013,390.9
48049,433.6
55009,457.1
46015,344.2
37019,322.2
51025,881.5
13029,425.7
40013,551
19019,358.9
29021,669.2
51027,79.6
51029,334.4
42017,245.3
51530,184.8
19021,337.9
31019,312
46017,1874.7
55011,213.5
21029,190.1
13031,841.5
01011,1238.5
37021,437.8
17011,294.3
13033,690.8
37023,389.4
38013,95.5
38015,481.8
48051,305.4
34005,368.8
48053,278.8
55013,195.1
31021,246.7
01013,942.4
19023,220.3
20015,288.8
21031,313.9
29023,389.8
31023,236.2
39017,395.3
42019,232.4
06007,571.3
16023,116
46019,360.9
13035,376.2
37025,534.5
54011,396.6
72023,87
49005,213.6
40015,534
22017,1056.3
72025,261.4
06009,262.6
22019,683.1
21033,251.7
29025,319.7
37027,348.7
48055,1114.4
22021,361.3
50005,301
01015,597.4
05013,440
12013,391.9
