county,state,cholesterol,diabetes,smoking,obesity,inactive,nointernet,nocomputer,lesshighschool,Value,snap,homevalue,hincome,gini,poverty,housingcost,unemploy,asian,black,white,age65,pop,air,park,metro,bpmuse,nobpm,noclm,cholescreen,cardiaceligible,cardiacparticipation,hospital,cihospital,crhospital,edhospital,nshospital,pharmacy,physician,cdphysician,neurologist,neurosurgeon,noinsurance,carecost,inpatientcost,outpatientcost,postcarecost,incrementalcost,increinpatientcost,increoutpatientcost,increpostcarecost,heartdiseaseinsured,hisp,lesscollege,cofips,male,marri,pcard_1m,statea,countya,ffips,crimerate,racialseg,socialvul
Autauga,AL,37,11.4,19.4,32.7,30.2,19.4,10.8,11.5,73.40000000000001,13.9,155000,58000,.454,12.1,13.4,2.7,1,19,74.59999999999999,15,55380,10.4,20,3,78,23.7,15.5,81.8,25.3,11.1,1,0,0,1,1,10.8,2.1,55.6,,,10,20363,6857,4103,3575,14287,5677,2624,2931,41.6,2.8,73.40000000000001,1001,48.634888,55.319672,0,1,1,1001,132.8,.31999999,.43540001
Baldwin,AL,40.1,8.199999999999999,17.5,30.1,23.5,18.2,9.1,9.199999999999999,68.09999999999999,9.5,198000,60000,.459,10.1,11.2,2.8,.9,9.1,83,20,212830,7.2,20,3,79.90000000000001,21.8,14.8,82.90000000000001,16,35,3,0,1,1,1,15.6,1.4,24.2,18.2,,13.2,16779,5329,2817,2998,10784,4134,1620,2246,39.5,4.5,68.09999999999999,1003,48.628483,54.54665,0,1,3,1003,149.8,.40000001,.21619999
Barbour,AL,41.1,15.1,24.5,41.2,26.7,39.5,22.8,26.8,88.40000000000001,24.2,91000,36000,.488,27.1,14.3,3.8,.4,47.4,45.8,18.6,25361,9.4,27,4,80.59999999999999,26,22.7,80.3,25,10.1,1,0,0,0,0,24.1,3.1,,,,13.5,21589,6664,3186,5403,14900,5353,1680,4280,37.3,4.3,88.40000000000001,1005,52.919838,44.529758,0,1,5,1005,490.5,.44,.99589998
Bibb,AL,38.5,12.2,22.7,37.4,33.1,30.8,21.9,20.9,89.59999999999999,15.5,93000,48000,.449,20.3,8.699999999999999,3.1,.1,22.1,74.5,15.9,22493,10,38,2,76.8,25.1,17.2,80,21.1,,1,0,0,1,0,17.9,1.9,,,,10.6,22877,8563,3459,4981,17139,7361,2063,3825,42.9,2.5,89.59999999999999,1007,54.016804,42.715248,0,1,7,1007,120.8,.47,.60030001
Blount,AL,40.8,12.2,22.1,32.5,32.6,27,19,19.5,86.90000000000001,11,128000,53000,.457,16.3,7.8,2.7,.4,1.5,86.8,17.9,57681,10.6,16,2,77.90000000000001,22.8,16.6,80.5,22.1,5.5,1,0,0,1,0,19,4.8,,,,14.1,20348,6599,3272,4566,13843,5399,2016,3326,41.5,9.199999999999999,86.90000000000001,1009,49.401016,58.871849,0,1,9,1009,277.70001,.43000001,.4242
Bullock,AL,39.2,27.9,24.4,46.4,42.3,39.9,22.7,25.3,87.90000000000001,27.4,70000,32000,.473,30,16.1,3.7,.4,74.8,21.3,16,10248,9.199999999999999,2,4,80.09999999999999,26.2,21.1,80.8,14.1,,1,0,0,0,0,29.6,3.4,,,,11.9,21573,6780,2927,6205,16279,6054,1855,4720,37.6,2.5,87.90000000000001,1011,54.361828,38.830162,0,1,11,1011,238.7,.54000002,.88980001
Butler,AL,41.1,17,21.4,47.3,38.9,35.4,26.7,15,83.90000000000001,24.9,96000,40000,.462,21.6,10.6,3.7,.3,45,51.6,19.7,19828,8.9,2,4,81.59999999999999,27,18.3,81.3,23.9,,1,0,0,0,0,20.3,3.9,,,,11.9,20346,5597,4319,4474,12496,4251,2237,2920,41.7,1.3,83.90000000000001,1013,45.79887,44.784973,0,1,13,1013,386.5,.5,.8653
Calhoun,AL,40.3,15.2,20.4,39.7,30,24.9,14.3,15.6,81.5,18.1,118000,48000,.463,17.2,10.5,3.6,.8,20.6,72,17.2,114618,10.8,29,3,79.2,24.5,17.1,80.5,28.2,14.9,2,1,1,1,1,19.3,1.6,19,22.9,,11.1,20763,6984,2824,4737,14279,5514,1658,3718,45.2,3.7,81.5,1015,48.108501,50.62923,0,1,15,1015,301.20001,.41,.82520002
Chambers,AL,40.6,15.6,22,42,27.5,30.6,20.6,18.4,86.7,20.1,97000,42000,.423,19.6,11.9,2.9,1.1,39.5,55.5,19.2,33660,10.2,14,4,81.2,24,17.4,81.5,18.5,31.5,0,0,0,0,0,17.8,2.4,,,,11.6,16647,5653,3148,2927,10741,4353,1771,1892,42,2.3,86.7,1017,47.798573,46.69017,0,1,17,1017,250.3,.44,.73820001
Cherokee,AL,42.8,12,21.8,38.1,27.7,29.3,18.6,18.4,87.2,15.6,123000,46000,.452,15.9,8.199999999999999,2.9,.2,4.5,91.7,22.4,25903,10.3,22,4,81.5,23.3,17.5,81.59999999999999,24.5,10.7,1,0,0,1,0,19.2,2.6,,,,13.5,18669,6273,2569,3815,12882,5131,1498,2810,42.5,1.5,87.2,1019,49.326332,60.175446,0,1,19,1019,241.8,.49000001,.45159999
Chilton,AL,41.6,16.8,22.8,42.1,31.9,31.3,19.9,18.2,87.3,16.7,107000,50000,.472,16,12.1,2.7,.4,9.1,80.09999999999999,16,44055,10.2,5,2,78.8,26.5,17.6,79.09999999999999,25.1,9,1,0,0,1,0,20.4,4.4,,,,16.3,20095,7439,2489,3804,13893,6191,1538,2788,46.6,7.8,87.3,1021,48.709568,52.851978,0,1,21,1021,216.10001,.46000001,.76020002
Choctaw,AL,42.3,13.9,21.4,46.7,32,38.7,23.7,18.6,88.09999999999999,24.8,74000,40000,.469,22.6,7.8,4.7,.1,42.5,56.3,22.6,12925,8.9,6,4,83.59999999999999,27.6,22.2,82.90000000000001,17,,1,0,0,0,0,31.2,2.6,,,,13.5,22993,5237,4425,7567,15702,4166,2897,5558,37.8,.4,88.09999999999999,1023,47.543522,50.854977,0,1,23,1023,23.5,.58999997,.87480003
Clarke,AL,41.3,22.5,22.8,36.1,40,42.5,29.7,19.4,87.8,23.6,113000,44000,.516,18.4,11.7,5.8,.4,45.7,52.7,19.4,24128,9.1,9,4,81.59999999999999,26.7,19,81.40000000000001,15.5,,2,0,0,0,0,33.4,1.8,,,,12.6,18950,6702,2891,3571,13082,5427,1755,2838,38.5,.3,87.8,1025,47.260445,48.776314,0,1,25,1025,161.60001,.49000001,.84710002
Clay,AL,42.3,14.2,23.6,37.1,32.3,29.9,18.8,23.3,89.40000000000001,12,108000,41000,.462,16.6,7.2,3,.1,15.5,80.3,20.2,13337,7.4,23,4,80.2,25.9,17.7,80.2,16.5,21.3,1,0,0,0,0,22.6,2.7,13.3,,,15.9,20532,7077,3836,3766,15379,6006,2790,3018,40.5,3.1,89.40000000000001,1027,48.271725,57.111717,0,1,27,1027,265.10001,.56,.56400001
