cofips,State,County,cholesterol,diabetes,smoking,obesity,inactive,nointernet,nocomputer,lesshighschool,snap,homevalue,hincome,gini,poverty,housingcost,unemploy,asian,black,white,hisp,pop,air,park,metro,bpmuse,nobpm,noclm,cholescreen,cardiaceligible,cardiacparticipation,hospital,cihospital,crhospital,edhospital,nshospital,pharmacy,physician,cdphysician,neurologist,neurosurgeon,noinsurance,carecost,inpatientcost,outpatientcost,postcarecost,incrementalcost,increinpatientcost,increoutpatientcost,increpostcarecost,heartdiseaseinsured,over65,male,NHB,Hispa,marri,banabv,pcard_1m
36061,NY,New York,29.7,6.6,12,15.7,16.8,14.8,8.800000000000001,12.7,14,988000,93000,.596,14.1,19.3,3.4,12,12.4,46.9,46.9,1631993,9,100,1,73.59999999999999,24.6,20,83.90000000000001,12.1,9.4,10,10,5,10,10,39.4,.7,3.3,3.3,12.1,6.1,19869,6717,2913,3631,13431,5519,1567,2922,32.7,16.198353,47.341747,12.474931,25.829767,37.478493,61.314991,51.47081
6075,CA,San Francisco,29.6,6,11.7,17,14.6,12.4,6.9,11.5,5.5,1098000,122000,.51,9.5,16.1,2.2,34.4,5,40.5,40.5,874961,7.6,99,1,68.90000000000001,19.8,14.2,81.09999999999999,9.4,11.4,10,2,1,3,3,13.1,.6,8.1,4.6,15.8,4.8,18830,7335,3197,3349,13806,6249,1843,2689,24.3,15.427088,51.00639,5.00388,15.236565,41.667614,58.061066,34.287243
36081,NY,Queens,34.1,10.2,14,24.1,27.4,16.5,9.699999999999999,18,12.7,544000,73000,.452,11,24.3,3.4,25.3,17.2,25,25,2287388,7,54,1,74.90000000000001,24.6,21.2,84.5,14.7,6,6,4,2,5,5,32.4,1.5,19.2,23.5,162.8,10.1,20580,6773,2199,4024,14761,5705,1286,3304,39.6,15.323766,48.516998,17.21352,28.044914,48.838585,32.166115,3.0602591
36005,NY,Bronx,33.7,12.4,18.1,28.4,29.8,24.3,13.4,27.2,31.3,405000,41000,.512,26.2,31,5.3,3.6,29.2,9.1,9.1,1435068,8.199999999999999,80,1,75.8,25.9,22.4,82.3,10.1,5,7,4,3,7,7,28.7,1.6,15.4,19.6,62.3,8.699999999999999,23432,8710,2388,5569,17585,7423,1259,4576,36.5,12.519338,47.136234,29.230183,56.026474,36.932953,20.068937,8.3619728
32003,NV,Clark,33,10,17.9,27.1,22.9,17.2,7.4,13.9,16,263000,62000,.467,13.3,16.5,4.1,9.6,11.2,42.7,42.7,2182004,10.8,62,1,71.7,24,17.5,79,13.7,15.7,19,3,4,6,5,10,1.8,23,34.3,111.6,13,22661,7345,1784,5906,16840,6188,1239,4856,35,14.458544,49.918697,11.231097,31.135645,46.199612,24.458923,6.4161201
6065,CA,Riverside,33.5,9,13.4,28.3,19.1,13.4,7.3,18,11,350000,73000,.457,11.3,19.9,4.2,6.5,6.1,35.3,35.3,2411439,14.1,48,1,70.3,23.2,16.9,80.59999999999999,15.3,14.2,16,5,6,13,9,10.4,2.3,32.7,57,163.4,9.1,20221,6581,3424,3646,14414,5522,2223,2960,35.4,14.12331,49.802628,6.1025801,48.911789,50.259209,22.305527,.41469014
26163,MI,Wayne,36.2,10.8,23.5,34.4,26,24.5,12.6,13.5,24.2,113000,51000,.498,19.8,17.2,5.2,3.3,38.5,49.5,49.5,1757299,11.3,63,1,76.8,25.3,20.2,82.40000000000001,17.9,21.2,14,6,12,14,14,29.1,1.4,13.9,13.6,36.5,6.9,24180,8633,3195,5815,18149,7321,1780,4839,42.4,15.050768,48.152248,38.54472,5.9420166,40.255825,23.934822,12.519213
29510,MO,St. Louis City,34,12.6,24.3,35.2,28.4,25.6,14.9,12.2,25.2,139000,46000,.505,20.4,19.2,3.9,3.3,46.2,43.6,43.6,308174,9.6,91,1,76.7,25.2,19.3,77.3,16.2,13,4,2,2,3,3,14.9,1.1,5.1,2.2,7,12.6,25033,9618,3482,5817,19408,8306,2239,4868,36.5,13.134138,48.406094,46.230701,4.0233765,32.895206,36.333412,97.347603
25025,MA,Suffolk,30.1,8.800000000000001,15.9,21.9,19.4,15.1,9.4,13.7,16.7,497000,76000,.533,16.7,21.9,2.7,8.800000000000001,20.1,44.8,44.8,796605,8.6,100,1,72.09999999999999,21.2,17,76.8,17.1,16,9,5,5,5,5,13.8,.7,2.8,2.4,10.3,4.4,23224,8159,4567,5023,17437,7115,2579,4193,33.1,11.763924,48.314785,20.112226,22.892149,34.29615,46.062866,110.4688
1073,AL,Jefferson,35.7,11.5,18,34.4,28.4,20.6,12.1,9.9,16.4,159000,54000,.501,16.2,14.6,2.9,1.5,42.8,49.8,49.8,659680,10.8,36,1,79,23.7,16.9,82.2,18.1,16.6,8,5,5,6,6,20.3,.9,6.3,6.3,12.7,11.1,21201,7284,2854,4866,14657,6013,1629,3730,34.9,15.429449,47.300659,42.803024,3.874151,46.060219,33.379951,16.674751
