tract_id,traccess_i,natwalkind
1007010001,0,3
1007010002,0,5.1111112
1007010003,0,5
1007010004,0,5.6944447
1009050101,0,5.0666666
1009050102,0,7.5
1009050200,0,4.25
1009050300,0,4.5
1009050400,0,3.125
1009050500,0,3.5
1009050601,0,4.083333
1009050602,0,4.9333334
1009050700,0,4.6666665
1021060101,0,7.0416665
1021060102,0,7.4666667
1021060200,0,4.5
1021060300,0,3
1021060401,0,5.9444447
1021060402,0,3.9666667
1021060500,0,4.3333335
1021060600,0,2.6666665
1021060700,0,3.0833333
1073000100,.106,10.733334
1073000300,.16333333,15.722222
1073000400,.024,13.2
1073000500,.0625,12.083333
1073000700,0,11.444445
1073000800,.072000004,13.933333
1073001100,.07,11.083333
1073001200,.0625,10.5
1073001400,.056666669,14.777778
1073001500,.047499999,13.375
1073001600,.064999998,14.333333
1073001902,.36666664,15.166667
1073002000,.27666667,12.5
1073002100,.086666666,11.111112
1073002200,.31,14.333333
1073002303,.072500005,13
1073002305,.039999999,11.833334
1073002306,0,10.111111
1073002400,.25999999,14.444445
1073002700,.69666666,15.888888
1073002900,.39333332,14.5
1073003001,.155,13.791666
1073003002,.17,15
1073003100,.17199999,12.3
1073003200,.07,15.333334
1073003300,.31999999,14.5
1073003400,.185,15.333333
1073003500,0,10.055555
1073003600,.018333333,13.055555
1073003700,.1825,11.875
1073003802,.11,11.291667
1073003803,.2075,13.333333
1073003900,.16,14.5
1073004000,.28,14.6
1073004200,.14333333,13.5
1073004500,.745,13.583334
1073004701,.2375,14.416666
1073004702,.17999999,11.166667
1073004800,.38999999,12.833333
1073004901,.55000001,15.583334
1073004902,.47333333,15.222222
1073005000,.33333334,14
1073005101,.1,14.166667
1073005103,.056666665,11.611112
1073005104,0,8.4444447
1073005200,.23,13.458333
1073005302,0,6.2777777
1073005500,.029999999,8.916666
1073005600,.022500001,10.75
1073005701,.073333338,13.388889
1073005702,.205,12.791667
1073005800,.12666667,14.388889
1073005903,0,10
1073005905,.1,8.0555553
1073005907,0,4.1666665
1073005908,0,10.611111
1073005909,0,4.1666665
1073005910,0,6.166667
1073010001,0,8.291667
1073010002,0,6.541667
1073010100,0,13.166667
1073010200,.26666665,17.388889
1073010301,.07,12.277778
1073010302,.013333333,12.555555
1073010401,.037999999,12.633333
1073010402,0,6.5
1073010500,0,12.277778
1073010602,.098333336,14.361111
1073010603,.23,12.5
1073010701,.045000002,13.25
1073010702,.38999999,13.555555
1073010703,.27500001,14.166666
1073010704,.094999999,8.916666
1073010705,.44,13.5
1073010706,.042499997,12.541666
1073010801,.055999998,11.5
1073010802,0,10.75
1073010803,.041999999,5.1333332
1073010804,0,7
1073010805,0,6.25
1073010900,.0085714282,10.928572
1073011001,0,7.1999998
1073011002,0,7.583333
1073011104,0,5
1073011107,0,5.0333333
1073011108,0,8.958333
1073011109,0,9.0555553
1073011110,0,4.3888888
1073011111,0,7
1073011205,0,8.333333
1073011206,0,5.2222223
1073011207,0,6
1073011208,0,4.4166665
1073011209,.015,10.916667
1073011210,0,5.25
1073011301,0,4
1073011302,0,4.8333335
1073011400,0,5.5
1073011500,0,3.7083335
1073011600,0,4.3333335
1073011703,0,7.2083335
1073011704,0,6.166667
1073011705,0,5.958333
1073011706,0,3.3333333
1073011802,.012,7.8333335
1073011803,0,10.083334
1073011804,.043333333,12.722222
1073011901,0,5.3888888
1073011904,.0013989649,5.8888888
1073012001,0,4.833333
1073012002,0,5.875
1073012103,0,8.3999996
1073012104,0,6.5555553
1073012200,0,4.25
1073012302,0,4.333333
1073012304,0,5.583333
1073012305,0,4.8333335
1073012401,0,10.25
1073012402,0,8
1073012403,0,4.2083335
1073012500,0,3.75
1073012602,0,8.208333
1073012701,0,7.4583335
1073012703,0,7.666667
1073012704,0,6.5
1073012802,0,10.222222
1073012803,.02,8.791667
1073012905,.050000001,10.777778
1073012906,.015,9.5
1073012907,0,6.6111112
1073012908,.02,13.416666
1073012910,.02,11.666667
1073012911,0,6.125
1073012912,0,12.833333
1073012913,0,10.166667
1073012914,0,7.3333335
1073012915,.027999999,11.966666
1073013002,.0099999998,10.75
1073013100,.082499996,12.208334
1073013200,0,12.888888
1073013300,0,10.777778
1073013400,.079999998,6.5
1073013601,.044,10.1
1073013801,0,11.055555
1073013901,0,8.666667
1073013902,0,9.166666
1073014001,0,4.2916665
1073014002,0,3.1666667
1073014102,0,3.0416665
1073014104,0,6.5833335
1073014105,.0066666664,7.7222223
1073014203,0,5.5
1073014204,0,5.7777777
1073014301,0,6.5555553
1073014302,0,7.6666665
1073014404,0,8.333334
1073014405,0,6.583333
1073014406,0,6
1073014408,0,10.916667
1073014409,.029999999,12
1073014410,0,8
1073014412,0,7.25
1073014413,0,6.8888888
1083020101,0,2.7222221
1083020102,0,4.7083335
1083020201,0,2.75
1083020202,0,3
1083020300,0,2.8333333
1083020401,0,3.7222221
1083020402,0,4.3333335
1083020500,0,9.333334
1083020600,0,8.083333
1083020700,0,8
1083020801,0,4
1083020802,0,6.0555553
1083020900,0,9.75
1083021000,0,10.166667
1083021100,0,4.5
