County,State,FIPS Code,Formatted FIPS,Estimated percent of adults reporting to eat less than one servi
Autauga,AL,1001,01001,17.3
Baldwin,AL,1003,01003,16.1
Barbour,AL,1005,01005,19.2
Bibb,AL,1007,01007,17.6
Blount,AL,1009,01009,16
Bullock,AL,1011,01011,21.7
Butler,AL,1013,01013,19.2
Calhoun,AL,1015,01015,17.4
Chambers,AL,1017,01017,18.9
Cherokee,AL,1019,01019,15.6
Chilton,AL,1021,01021,17.1
Choctaw,AL,1023,01023,19.5
Clarke,AL,1025,01025,19.5
Clay,AL,1027,01027,16.6
Cleburne,AL,1029,01029,15.7
Coffee,AL,1031,01031,17.3
Colbert,AL,1033,01033,16.2
Conecuh,AL,1035,01035,19.6
Coosa,AL,1037,01037,18.4
Covington,AL,1039,01039,16.6
Crenshaw,AL,1041,01041,17.7
Cullman,AL,1043,01043,15.6
Dale,AL,1045,01045,17.5
Dallas,AL,1047,01047,20.8
DeKalb,AL,1049,01049,16
Elmore,AL,1051,01051,17.6
Escambia,AL,1053,01053,19.1
Etowah,AL,1055,01055,16.3
Fayette,AL,1057,01057,16.4
Franklin,AL,1059,01059,16.4
Geneva,AL,1061,01061,16.4
Greene,AL,1063,01063,22
Hale,AL,1065,01065,20
Henry,AL,1067,01067,17.8
Houston,AL,1069,01069,17.8
Jackson,AL,1071,01071,15.5
Jefferson,AL,1073,01073,17.3
Lamar,AL,1075,01075,16.2
Lauderdale,AL,1077,01077,16
Lawrence,AL,1079,01079,16.9
Lee,AL,1081,01081,18.2
Limestone,AL,1083,01083,16.9
Lowndes,AL,1085,01085,21.6
Macon,AL,1087,01087,22
Madison,AL,1089,01089,17.1
Marengo,AL,1091,01091,19.6
Marion,AL,1093,01093,15.7
Marshall,AL,1095,01095,15.9
Mobile,AL,1097,01097,17.8
Monroe,AL,1099,01099,19.4
Montgomery,AL,1101,01101,20.5
Morgan,AL,1103,01103,16.9
Perry,AL,1105,01105,21.1
Pickens,AL,1107,01107,18.5
Pike,AL,1109,01109,18.6
Randolph,AL,1111,01111,17
Russell,AL,1113,01113,18.4
St. Clair,AL,1115,01115,16.5
Shelby,AL,1117,01117,16.5
Sumter,AL,1119,01119,21.9
Talladega,AL,1121,01121,17.8
Tallapoosa,AL,1123,01123,17.8
Tuscaloosa,AL,1125,01125,18.3
Walker,AL,1127,01127,15.8
Washington,AL,1129,01129,18.3
Wilcox,AL,1131,01131,22.1
Winston,AL,1133,01133,15.6
Aleutians East,AK,2013,02013,19.5
Aleutians West,AK,2016,02016,18.5
Anchorage,AK,2020,02020,15.2
Bethel,AK,2050,02050,20.8
Bristol Bay,AK,2060,02060,17.1
Denali,AK,2068,02068,14.5
Dillingham,AK,2070,02070,20
Fairbanks North Star,AK,2090,02090,15.7
Haines,AK,2100,02100,14.5
Hoonah-Angoon,AK,2105,02105,17.4
Juneau,AK,2110,02110,15.8
Kenai Peninsula,AK,2122,02122,15.1
Ketchikan Gateway,AK,2130,02130,15.2
Kodiak Island,AK,2150,02150,16.3
Lake and Peninsula,AK,2164,02164,19.7
Matanuska-Susitna,AK,2170,02170,15.1
Nome,AK,2180,02180,20.3
North Slope,AK,2185,02185,19.2
Northwest Arctic,AK,2188,02188,21
Petersburg,AK,2195,02195,15.7
Prince of Wales-Hyder,AK,2198,02198,17.3
Sitka,AK,2220,02220,15.9
Skagway,AK,2230,02230,14.3
Southeast Fairbanks,AK,2240,02240,15.4
Valdez-Cordova,AK,2261,02261,15.5
Wade Hampton,AK,2270,02270,22.1
Wrangell,AK,2275,02275,15.4
Yakutat,AK,2282,02282,17.4
Yukon-Koyukuk,AK,2290,02290,19.8
Apache,AZ,4001,04001,22.6
Cochise,AZ,4003,04003,18.7
Coconino,AZ,4005,04005,20.2
Gila,AZ,4007,04007,18.3
Graham,AZ,4009,04009,20.5
Greenlee,AZ,4011,04011,20.1
La Paz,AZ,4012,04012,18.3
Maricopa,AZ,4013,04013,18.1
Mohave,AZ,4015,04015,17.5
Navajo,AZ,4017,04017,20.2
Pima,AZ,4019,04019,17.8
Pinal,AZ,4021,04021,18.6
Santa Cruz,AZ,4023,04023,21.4
Yavapai,AZ,4025,04025,16.9
Yuma,AZ,4027,04027,20.5
Arkansas,AR,5001,05001,20.2
Ashley,AR,5003,05003,21
Baxter,AR,5005,05005,16.8
Benton,AR,5007,05007,18.7
Boone,AR,5009,05009,17.2
Bradley,AR,5011,05011,21.9
Calhoun,AR,5013,05013,20
Carroll,AR,5015,05015,18.1
Chicot,AR,5017,05017,23.8
Clark,AR,5019,05019,20.4
Clay,AR,5021,05021,17.5
Cleburne,AR,5023,05023,17.6
Cleveland,AR,5025,05025,19.3
Columbia,AR,5027,05027,21.3
Conway,AR,5029,05029,19.4
Craighead,AR,5031,05031,19.5
Crawford,AR,5033,05033,18.2
Crittenden,AR,5035,05035,22.5
Cross,AR,5037,05037,20
Dallas,AR,5039,05039,21.7
Desha,AR,5041,05041,23.1
Drew,AR,5043,05043,21.5
Faulkner,AR,5045,05045,20
Franklin,AR,5047,05047,17.6
Fulton,AR,5049,05049,17.4
Garland,AR,5051,05051,18.1
Grant,AR,5053,05053,17.8
Greene,AR,5055,05055,17.6
Hempstead,AR,5057,05057,20.9
Hot Spring,AR,5059,05059,18.9
Howard,AR,5061,05061,19.9
Independence,AR,5063,05063,18
