"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",33,"32.8 - 35.7 (637)"
02016,"""Aleutians West, (AK)""",29.8,"18.7 - 32.7 (646)"
02020,"""Anchorage, (AK)""",29.7,"18.7 - 32.7 (646)"
02050,"""Bethel, (AK)""",34,"32.8 - 35.7 (637)"
02060,"""Bristol Bay, (AK)""",33.5,"32.8 - 35.7 (637)"
02068,"""Denali, (AK)""",29.7,"18.7 - 32.7 (646)"
02070,"""Dillingham, (AK)""",32.5,"18.7 - 32.7 (646)"
02090,"""Fairbanks North Star, (AK)""",27.7,"18.7 - 32.7 (646)"
02100,"""Haines, (AK)""",35.3,"32.8 - 35.7 (637)"
02105,"""Hoonah-Angoon, (AK)""",40.9,"38.3 - 41.8 (622)"
02110,"""Juneau, (AK)""",31.1,"18.7 - 32.7 (646)"
02122,"""Kenai Peninsula, (AK)""",34.1,"32.8 - 35.7 (637)"
02130,"""Ketchikan Gateway, (AK)""",32.9,"32.8 - 35.7 (637)"
02150,"""Kodiak Island, (AK)""",28.3,"18.7 - 32.7 (646)"
02164,"""Lake and Peninsula, (AK)""",35.1,"32.8 - 35.7 (637)"
02170,"""Matanuska-Susitna, (AK)""",30.7,"18.7 - 32.7 (646)"
02180,"""Nome, (AK)""",33.7,"32.8 - 35.7 (637)"
02185,"""North Slope, (AK)""",32.5,"18.7 - 32.7 (646)"
02188,"""Northwest Arctic, (AK)""",34.3,"32.8 - 35.7 (637)"
02195,"""Petersburg, (AK)""",32.9,"32.8 - 35.7 (637)"
02198,"""Prince of Wales-Hyder, (AK)""",38,"35.8 - 38.2 (613)"
02220,"""Sitka, (AK)""",30.6,"18.7 - 32.7 (646)"
02230,"""Skagway, (AK)""",29.6,"18.7 - 32.7 (646)"
02240,"""Southeast Fairbanks, (AK)""",31.3,"18.7 - 32.7 (646)"
02261,"""Valdez-Cordova, (AK)""",31,"18.7 - 32.7 (646)"
02158,"""Kusilvak, (AK)""",37.4,"35.8 - 38.2 (613)"
02275,"""Wrangell, (AK)""",38.5,"38.3 - 41.8 (622)"
02282,"""Yakutat, (AK)""",36.8,"35.8 - 38.2 (613)"
02290,"""Yukon-Koyukuk, (AK)""",39.9,"38.3 - 41.8 (622)"
06001,"""Alameda, (CA)""",26.1,"18.7 - 32.7 (646)"
06005,"""Amador, (CA)""",36.6,"35.8 - 38.2 (613)"
06007,"""Butte, (CA)""",30.7,"18.7 - 32.7 (646)"
06009,"""Calaveras, (CA)""",35.8,"35.8 - 38.2 (613)"
06011,"""Colusa, (CA)""",31.5,"18.7 - 32.7 (646)"
06013,"""Contra Costa, (CA)""",26.7,"18.7 - 32.7 (646)"
06015,"""Del Norte, (CA)""",34.9,"32.8 - 35.7 (637)"
06017,"""El Dorado, (CA)""",32.1,"18.7 - 32.7 (646)"
06021,"""Glenn, (CA)""",31.9,"18.7 - 32.7 (646)"
06023,"""Humboldt, (CA)""",30,"18.7 - 32.7 (646)"
06031,"""Kings, (CA)""",29.2,"18.7 - 32.7 (646)"
06033,"""Lake, (CA)""",36.9,"35.8 - 38.2 (613)"
06035,"""Lassen, (CA)""",31.2,"18.7 - 32.7 (646)"
06041,"""Marin, (CA)""",28.7,"18.7 - 32.7 (646)"
06043,"""Mariposa, (CA)""",36.2,"35.8 - 38.2 (613)"
06045,"""Mendocino, (CA)""",33.8,"32.8 - 35.7 (637)"
06047,"""Merced, (CA)""",30.6,"18.7 - 32.7 (646)"
06049,"""Modoc, (CA)""",38.2,"35.8 - 38.2 (613)"
06053,"""Monterey, (CA)""",29.4,"18.7 - 32.7 (646)"
06055,"""Napa, (CA)""",30.5,"18.7 - 32.7 (646)"
06057,"""Nevada, (CA)""",33.3,"32.8 - 35.7 (637)"
06061,"""Placer, (CA)""",30.3,"18.7 - 32.7 (646)"
06063,"""Plumas, (CA)""",37.4,"35.8 - 38.2 (613)"
06067,"""Sacramento, (CA)""",31.4,"18.7 - 32.7 (646)"
06069,"""San Benito, (CA)""",28.3,"18.7 - 32.7 (646)"
06075,"""San Francisco, (CA)""",24.9,"18.7 - 32.7 (646)"
06077,"""San Joaquin, (CA)""",29.2,"18.7 - 32.7 (646)"
06079,"""San Luis Obispo, (CA)""",29.9,"18.7 - 32.7 (646)"
06081,"""San Mateo, (CA)""",28,"18.7 - 32.7 (646)"
06083,"""Santa Barbara, (CA)""",27,"18.7 - 32.7 (646)"
06085,"""Santa Clara, (CA)""",25.5,"18.7 - 32.7 (646)"
06087,"""Santa Cruz, (CA)""",26.7,"18.7 - 32.7 (646)"
06089,"""Shasta, (CA)""",33.7,"32.8 - 35.7 (637)"
06091,"""Sierra, (CA)""",38.5,"38.3 - 41.8 (622)"
06093,"""Siskiyou, (CA)""",37,"35.8 - 38.2 (613)"
06095,"""Solano, (CA)""",31.6,"18.7 - 32.7 (646)"
06097,"""Sonoma, (CA)""",28.3,"18.7 - 32.7 (646)"
06099,"""Stanislaus, (CA)""",29.5,"18.7 - 32.7 (646)"
06101,"""Sutter, (CA)""",30.9,"18.7 - 32.7 (646)"
06103,"""Tehama, (CA)""",34.8,"32.8 - 35.7 (637)"
06105,"""Trinity, (CA)""",39.8,"38.3 - 41.8 (622)"
06109,"""Tuolumne, (CA)""",35.9,"35.8 - 38.2 (613)"
06113,"""Yolo, (CA)""",24.7,"18.7 - 32.7 (646)"
06115,"""Yuba, (CA)""",29.1,"18.7 - 32.7 (646)"
15001,"""Hawaii, (HI)""",31.9,"18.7 - 32.7 (646)"
15003,"""Honolulu, (HI)""",31.3,"18.7 - 32.7 (646)"
15005,"""Kalawao, (HI)""",43.9,"41.9 - 56.9 (624)"
15007,"""Kauai, (HI)""",30,"18.7 - 32.7 (646)"
15009,"""Maui, (HI)""",28.7,"18.7 - 32.7 (646)"
41003,"""Benton, (OR)""",25.3,"18.7 - 32.7 (646)"
41005,"""Clackamas, (OR)""",28.6,"18.7 - 32.7 (646)"
41007,"""Clatsop, (OR)""",33.8,"32.8 - 35.7 (637)"
41009,"""Columbia, (OR)""",32.7,"18.7 - 32.7 (646)"
41011,"""Coos, (OR)""",37.6,"35.8 - 38.2 (613)"
41013,"""Crook, (OR)""",36.9,"35.8 - 38.2 (613)"
41015,"""Curry, (OR)""",40.4,"38.3 - 41.8 (622)"
41017,"""Deschutes, (OR)""",30.7,"18.7 - 32.7 (646)"
41019,"""Douglas, (OR)""",36.3,"35.8 - 38.2 (613)"
41021,"""Gilliam, (OR)""",37.8,"35.8 - 38.2 (613)"
41027,"""Hood River, (OR)""",30.3,"18.7 - 32.7 (646)"
41029,"""Jackson, (OR)""",31.3,"18.7 - 32.7 (646)"
41031,"""Jefferson, (OR)""",34.4,"32.8 - 35.7 (637)"
41033,"""Josephine, (OR)""",37.2,"35.8 - 38.2 (613)"
41035,"""Klamath, (OR)""",35.3,"32.8 - 35.7 (637)"
41037,"""Lake, (OR)""",38.2,"35.8 - 38.2 (613)"
41039,"""Lane, (OR)""",29.4,"18.7 - 32.7 (646)"
41041,"""Lincoln, (OR)""",38.1,"35.8 - 38.2 (613)"
41043,"""Linn, (OR)""",31.4,"18.7 - 32.7 (646)"
41047,"""Marion, (OR)""",30.4,"18.7 - 32.7 (646)"
41051,"""Multnomah, (OR)""",26.7,"18.7 - 32.7 (646)"
41053,"""Polk, (OR)""",29.3,"18.7 - 32.7 (646)"
41055,"""Sherman, (OR)""",35.5,"32.8 - 35.7 (637)"
41057,"""Tillamook, (OR)""",36.6,"35.8 - 38.2 (613)"
41065,"""Wasco, (OR)""",32.2,"18.7 - 32.7 (646)"
