County,State,FIPS Code,Formatted FIPS,Estimated percent of people age 16 years or older who were emplo
Autauga,AL,1001,01001,12.95
Baldwin,AL,1003,01003,9.25
Barbour,AL,1005,01005,23.05
Bibb,AL,1007,01007,16.9
Blount,AL,1009,01009,17.16
Bullock,AL,1011,01011,36.26
Butler,AL,1013,01013,25.02
Calhoun,AL,1015,01015,17.74
Chambers,AL,1017,01017,31.44
Cherokee,AL,1019,01019,24.32
Chilton,AL,1021,01021,14.84
Choctaw,AL,1023,01023,15.86
Clarke,AL,1025,01025,25.32
Clay,AL,1027,01027,29.93
Cleburne,AL,1029,01029,21.43
Coffee,AL,1031,01031,11.95
Colbert,AL,1033,01033,19.45
Conecuh,AL,1035,01035,18.5
Coosa,AL,1037,01037,21.63
Covington,AL,1039,01039,15.46
Crenshaw,AL,1041,01041,18.53
Cullman,AL,1043,01043,17.06
Dale,AL,1045,01045,10.87
Dallas,AL,1047,01047,25.95
DeKalb,AL,1049,01049,27.61
Elmore,AL,1051,01051,11.47
Escambia,AL,1053,01053,16.2
Etowah,AL,1055,01055,18.98
Fayette,AL,1057,01057,24.71
Franklin,AL,1059,01059,31.46
Geneva,AL,1061,01061,15.75
Greene,AL,1063,01063,29.3
Hale,AL,1065,01065,18.51
Henry,AL,1067,01067,14.52
Houston,AL,1069,01069,9.22
Jackson,AL,1071,01071,28.24
Jefferson,AL,1073,01073,9.41
Lamar,AL,1075,01075,24.29
Lauderdale,AL,1077,01077,13.94
Lawrence,AL,1079,01079,24.95
Lee,AL,1081,01081,13.26
Limestone,AL,1083,01083,18.48
Lowndes,AL,1085,01085,22.57
Macon,AL,1087,01087,14.31
Madison,AL,1089,01089,11.11
Marengo,AL,1091,01091,15.23
Marion,AL,1093,01093,21.83
Marshall,AL,1095,01095,22.81
Mobile,AL,1097,01097,12.34
Monroe,AL,1099,01099,18.36
Montgomery,AL,1101,01101,11.37
Morgan,AL,1103,01103,20.55
Perry,AL,1105,01105,9.33
Pickens,AL,1107,01107,19.5
Pike,AL,1109,01109,13.06
Randolph,AL,1111,01111,26.06
Russell,AL,1113,01113,13.49
St. Clair,AL,1115,01115,15.87
Shelby,AL,1117,01117,7.84
Sumter,AL,1119,01119,11.84
Talladega,AL,1121,01121,21.39
Tallapoosa,AL,1123,01123,20.56
Tuscaloosa,AL,1125,01125,14.65
Walker,AL,1127,01127,11.91
Washington,AL,1129,01129,20.1
Wilcox,AL,1131,01131,14.79
Winston,AL,1133,01133,19.57
Aleutians East,AK,2013,02013,47.53
Aleutians West,AK,2016,02016,32.56
Anchorage,AK,2020,02020,2.39
Bethel,AK,2050,02050,1.36
Bristol Bay,AK,2060,02060,1.07
Denali,AK,2068,02068,1.59
Dillingham,AK,2070,02070,0.05
Fairbanks North Star,AK,2090,02090,1.58
Haines,AK,2100,02100,3.73
Hoonah-Angoon,AK,2105,02105,9.81
Juneau,AK,2110,02110,3.16
Kenai Peninsula,AK,2122,02122,3.82
Ketchikan Gateway,AK,2130,02130,4.86
Kodiak Island,AK,2150,02150,21.12
Lake and Peninsula,AK,2164,02164,6.13
Matanuska-Susitna,AK,2170,02170,2.42
