County,State,FIPS Code,Formatted FIPS,Estimated percent of adults reporting fourteen or more days of p
Autauga,AL,1001,01001,16
Baldwin,AL,1003,01003,15.4
Barbour,AL,1005,01005,15.2
Bibb,AL,1007,01007,15.3
Blount,AL,1009,01009,15.5
Bullock,AL,1011,01011,15.6
Butler,AL,1013,01013,16.3
Calhoun,AL,1015,01015,16.2
Chambers,AL,1017,01017,15.9
Cherokee,AL,1019,01019,15.6
Chilton,AL,1021,01021,15.8
Choctaw,AL,1023,01023,16
Clarke,AL,1025,01025,16.3
Clay,AL,1027,01027,15.7
Cleburne,AL,1029,01029,15.9
Coffee,AL,1031,01031,16
Colbert,AL,1033,01033,15.4
Conecuh,AL,1035,01035,16
Coosa,AL,1037,01037,15.4
Covington,AL,1039,01039,16
Crenshaw,AL,1041,01041,16.1
Cullman,AL,1043,01043,15.6
Dale,AL,1045,01045,16.1
Dallas,AL,1047,01047,16
DeKalb,AL,1049,01049,15.6
Elmore,AL,1051,01051,16.1
Escambia,AL,1053,01053,16.4
Etowah,AL,1055,01055,15.5
Fayette,AL,1057,01057,15.8
Franklin,AL,1059,01059,15.7
Geneva,AL,1061,01061,15.3
Greene,AL,1063,01063,15.3
Hale,AL,1065,01065,15.3
Henry,AL,1067,01067,15.2
Houston,AL,1069,01069,16.2
Jackson,AL,1071,01071,15.6
Jefferson,AL,1073,01073,14.9
Lamar,AL,1075,01075,15.6
Lauderdale,AL,1077,01077,15.6
Lawrence,AL,1079,01079,16.1
Lee,AL,1081,01081,17.4
Limestone,AL,1083,01083,15.5
Lowndes,AL,1085,01085,15.6
Macon,AL,1087,01087,16.2
Madison,AL,1089,01089,15.7
Marengo,AL,1091,01091,15.9
Marion,AL,1093,01093,15.6
Marshall,AL,1095,01095,15.5
Mobile,AL,1097,01097,15.9
Monroe,AL,1099,01099,16.4
Montgomery,AL,1101,01101,16.9
Morgan,AL,1103,01103,16
Perry,AL,1105,01105,16.3
Pickens,AL,1107,01107,15.8
Pike,AL,1109,01109,16.5
Randolph,AL,1111,01111,15.8
Russell,AL,1113,01113,15.9
St. Clair,AL,1115,01115,15.8
Shelby,AL,1117,01117,16
Sumter,AL,1119,01119,16.8
Talladega,AL,1121,01121,15.8
Tallapoosa,AL,1123,01123,15.8
Tuscaloosa,AL,1125,01125,17
Walker,AL,1127,01127,15.2
Washington,AL,1129,01129,16.8
Wilcox,AL,1131,01131,16.5
Winston,AL,1133,01133,15.9
Aleutians East,AK,2013,02013,11.6
Aleutians West,AK,2016,02016,11.5
Anchorage,AK,2020,02020,12.7
Bethel,AK,2050,02050,18.2
Bristol Bay,AK,2060,02060,14.9
Denali,AK,2068,02068,12.4
Dillingham,AK,2070,02070,17.5
Fairbanks North Star,AK,2090,02090,13.2
Haines,AK,2100,02100,12.4
Hoonah-Angoon,AK,2105,02105,14.5
Juneau,AK,2110,02110,13.7
Kenai Peninsula,AK,2122,02122,12.9
Ketchikan Gateway,AK,2130,02130,12.7
Kodiak Island,AK,2150,02150,12.4
Lake and Peninsula,AK,2164,02164,17.3
